"ID","text","Requirement","target","nature","interpretability","[Motivation for ambiguity]","reference","Logic rule","Comments"
"K56589","Genomföringar och anslutningar ska vara utformade så att två stycken 95 mm² 3-fas kablar kan anslutas.","Feedthroughs and connections must be designed so that two 95 mm² 3-phase cables can be connected.","Product","Quantitative","Non-ambiguous",,"No reference","Yes",
"K49368","Kontakt i motorkrets ska kunna sluta och bryta ström hos fastbromsad motor.","Contact in the motor circuit must be able to close and break current with the motor braked.","Product","Qualitative","Non-ambiguous",,"No reference","Yes",
"K99788","I ärende för kontroll ska följande uppgifter anges: · Trafikverkets projektnummer och projektnamn · Trafikverkets konstruktionsnamn och konstruktionsnummer på den geokonstruktion som avses · vilka dokument och versioner av dessa som avses · länk till lagringsplats för handlingar som lagts in i databas · vilken typ av kontroll som avses · det av handling upprättande företagets namn · datering · daterad underskrift · kontaktuppgift för Trafikverkets projektledare · kontaktuppgift för Trafikverkets kontraktspart · kontaktuppgift för Trafikverkets teknikstöd för geoteknik · kontaktuppgift för det av handling upprättande företagets uppdragsledare K99789 Handling i ärende för kontroll ska vara kvalitetssäkrad, komplett och färdig.","In case of inspection, the following information must be provided: · The Swedish Transport Administration's project number and project name · The Swedish Transport Administration's construction name and construction number of the geoconstruction in question · which documents and versions of these are in question · link to the storage location for documents entered into the database · which type of control refers to · the name of the company drawing up the document · date · dated signature · contact details for the Swedish Transport Administration's project manager · contact details for the Swedish Transport Administration's contracting party · contact details for the Swedish Transport Administration's technical support for geotechnics · contact details for the task manager of the company drawing up the document K99789 Document in case for inspection must be quality assured, complete and done.","Documentation","Qualitative","Non-ambiguous",,"No reference","Yes",
"K55818","Säkerhetsutrustning ska innefatta objekt enligt tabell 1.","Safety equipment must include items according to table 1.","Product","Qualitative","Non-ambiguous",,"Local","Yes",
"K46926","Dörrar av stål ska vara målade i kulör ljusgrå enligt tillverkarens standard.","Steel doors must be painted light gray according to the manufacturer's standard.","Product","Qualitative","Ambiguous (artificial)","This requirement could be made unambiguous by specifying the color using a standard way (e.g. Pantone). The question is whether this clarity is wanted or if natural ambiguity is fine here. The reason for natural ambiguity is to allow for solution openness. In this case, the color is not a matter of solution openness (what is the problem that is solved?), but simply underspecification.","External","Yes",
"K195661","Fundament som inte står i skydd av vägräcke eller dylikt ska placeras så att inte någon del av fundamentets överyta blir belägen högre än 0,1 m över färdig mark.","Foundations that are not protected by road railings or the like must be placed so that no part of the foundation's upper surface is located higher than 0.1 m above finished ground.","Product","Quantitative","Ambiguous (artificial)","Unclear what ""or the like"" / ""dylikt"" refers to. This can be many things and interpreted differently by different suppliers.","No reference","Yes",
"K151598","Slänter och koner ska vara fria från buskar och sly, med en diameter som är mindre än 0,10 m, och som är högre än 0,5 m över markytan.","Slopes and cones must be free of bushes and sly, with a diameter that is less than 0.10 m, and that is higher than 0.5 m above the ground surface.","Product","Mixed","Ambiguous (artificial)","Validation input: Hard to know what slanter och koner, buskar or sly refer to. ","No reference","Yes",
"K157806","Jordens halt av stora block (> 630 mm) ska anges om den bedöms överstiga 1 viktprocent.","The soil's content of large blocks (> 630 mm) must be stated if it is judged to exceed 1% by weight.","Documentation","Quantitative","Ambiguous (artificial)","There are two aspects that are ambiguous. (1) The dimension of 630mm is not specified (length, diameter, circumference of the block, or something else?). (2) It is not clear where this fact must be documented.","No reference","Yes",
"K12652","Märkskyltar för MCS-portaler ska vara 450 mm breda.","Name plates for MCS portals must be 450 mm wide.","Product","Quantitative","Non-ambiguous",,"No reference","Yes",
"K217480","Radarenheten ska med vinklingsbara standardfästen kunna monteras på både vägg, hörn och stolpe (diameter 80-150mm).","The radar unit must be able to be mounted on both a wall, corner and post (diameter 80-150mm) with angled standard brackets.","Product","Mixed","Ambiguous (artificial)","""Angled standard brackets"" is something the regulator knows how it is defined, relying on that the designer has the same knowledge. There is also some lexical ambiguity as the text uses ""both"" to refer to three things (wall, corner and post). The question is then if the specified diameter (80-150mm) refers to only the post or also the corner. ","No reference","Yes",
"K135247","För bro med väg, gång- och cykeltrafik ska krav enligt ""Vägars och gators utformning"" (Trafikverket) uppfyllas.","For bridges with road, pedestrian and bicycle traffic, requirements according to ""Design of roads and streets"" (Traffic Agency) must be met.","Product","Qualitative","Ambiguous (artificial)","Possible artificial ambiguity, because unclear to which version of the external requirements (""Vägars och gators utformning"") the requirement refers to.","Internal","Yes",
"K48226","Kapslingen ska vara utförd i rostfritt stål eller målad aluminium.","The enclosure must be made of stainless steel or painted aluminium.","Product","Qualitative","Ambiguous (artificial)","Validation input: Could have referenced a type of colour. Not clear if color should look like rustfree steel or if color is irrelevant.","No reference","Yes",
"K52338","Apparat i golvskåp ska vara monterad lägst 600 mm över skåps botten.","Appliances in floor cabinets must be mounted at least 600 mm above the bottom of the cabinet.","Product","Quantitative","Non-ambiguous",,"No reference","Yes",
"K29501","Skylt med texten LIVSFARA förbjudet att beträda spårområdet ska ha dimension 200x632 mm.","Sign with the text ""DANGER TO LIFE forbidden to enter the track area"" must have dimensions 200x632 mm.","Product","Quantitative","Non-ambiguous",,"No reference","Yes",
"K33008","Om det finns biljettvaliderare, ska minst en av dessa ha en fri passageväg med en minimibredd på 90 cm.","If there are ticket validators, at least one of these must have a clear passageway with a minimum width of 90 cm.","Product","Quantitative","Non-ambiguous",,"No reference","Yes",
"K63960","Kontakttrådarna ska vara hophållda med hjälp av en 2 500 mm lång stödskena enligt ritning 803 047.","The contact wires must be held together using a 2,500 mm long support rail according to drawing 803 047.","Product","Quantitative","Ambiguous (artificial)","Validation input: Reference to drawing is not unambiguous.","Local","Yes",
"K38383","Standardavvikelse ska beräknas för signaler filtrerade till våglängdsområdet D1 325 m.","Standard deviation shall be calculated for signals filtered to the wavelength range D1 325 m.","Process","Quantitative","Non-ambiguous",,"No reference","Yes",
"K59785","Bärlinan ska vara Cu 70 mm2 enligt TDOK 2014:0868 BVS 543.","The carrying rope must be Cu 70 mm2 according to TDOK 2014:0868 BVS 543.","Product","Mixed","Non-ambiguous",,"Internal","Yes",
"K34765","För svetsspalt 68 mm ska termitform L68 användas.","For welding gap 68 mm, thermite form L68 must be used.","Process","Qualitative","Non-ambiguous",,"No reference","Yes",
"K157858","Vid breddning av befintlig väg får beräknad tjällyftning på breddad del skilja maximalt 15 mm från beräknad tjällyftning på befintlig väg.","When widening an existing road, the calculated frost heave on the widened part may differ by a maximum of 15 mm from the calculated frost heave on the existing road.","Process","Quantitative","Non-ambiguous",,"No reference","Yes",
"K35282","Stolpens ytterdiameter ska vara 76 mm.","The outside diameter of the post must be 76 mm.","Product","Quantitative","Non-ambiguous",,"No reference","Yes",
"K61510 ","Nedhänget på spannmitt ska vara 30 mm vid 60 m spannlängd.","The sag at the center of the span must be 30 mm at 60 m span length.","Product","Quantitative","Non-ambiguous",,"No reference","Yes",
"K135668","Vid dimensionering av förankringsanordning ska hänsyn tas till avrostning.","When dimensioning the anchoring device, consideration must be given to de-rusting.","Product","Qualitative","Ambiguous (artificial)","Solutions for de-rusting depend probably on how the anchoring device is designed. The solution is intentional left vague and open. Validation comment: Should be artificial since it is not well specified mow much avrostning should be handled. This is about security.  ","No reference",,
"K32998","Trösklar på en hinderfri gångväg ska vara kontrasterande mot den omgivande golvytan.","Thresholds on an obstacle-free walkway must contrast with the surrounding floor surface.","Product","Qualitative","Ambiguous (artificial)","The definition is artificially ambiguous as the degree of contrast *could* be specified objectively and measurably.","No reference",,
"K160118","En skredvarningsförsignal ska vara försedd med en fyrkantig gul skylt med texten Fsi skredvarning och tillhörande skredvarningsstopplyktas beteckning.","An avalanche warning signal must be equipped with a square yellow sign with the text ""Fsi avalanche warning"" and the associated avalanche warning stop light designation.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K218110","Signalanläggningar som inte är placerade spårnära ska vara tillgängliga för underhåll vid drift.","Signal facilities that are not located close to the tracks must be accessible for maintenance during operation.","Product","Qualitative","Ambiguous (artificial)","Without a quantitative distance requirement, this statement is vague and will inevitably interpreted differently by people with different interests (cost vs. safety).","No reference",,
"K42306","Bromsprovaren ska vara med instrumentenhet som visar bromskraft.","The brake tester must have an instrument unit that shows braking power.","Product","Qualitative","Ambiguous (natural)","There is no information beyond that such an instrument must exist. How it is implemented is completely open (digital vs. analog, range, displayed units, etc.). Hence, natural ambiguity.","No reference",,
"K53647","Vid märkning av grupptillhörighet ska Trafikverkets skyltar med följande artikelnummer vara använda: · 04 29 601 - Gruppmarkeringsskylt BV 2802, två tecken.","When marking group membership, the Swedish Transport Administration's signs with the following article numbers must be used: · 04 29 601 - Group marking sign BV 2802, two characters.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K46568","Installationsgolvets bärande konstruktion får inte försämras om samtliga golvplattor lyfts bort.","The load-bearing structure of the installation floor must not be damaged if all the floor tiles are lifted away.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K111674","Konsekvensbedömning ska genomföras med den återkomsttid som gäller för den sårbara punkt som kan påverkas.","Impact assessment must be carried out with the return time that applies to the vulnerable point that can be affected.","Process","Qualitative","Ambiguous (artificial)","Both Jessica and I have problems understanding the requirement (lack of background/context). But the requirement is not necessarily ambiguous (no artificial ambiguity). What has to be done (impact assessment), i.e. the solution, is open. Hence I tend to agree with Jessica, i.e. natural ambiguity. Validation input: Both Oskar and Martin do not fully understand the requirement. It is artificial ambiguous as it lacks information.","No reference",,
"K126068","Materiel som används till skyddsjordning ska bestå utav produkter godkända av Trafikverket.","Equipment used for protective earthing must consist of products approved by the Swedish Transport Administration.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K62414","Innan transformator tas i drift ska följande uppfyllas: · överslagsvärdet ska vara minst 60 kV/ 2,5mm.","Before the transformer is put into operation, the following must be met: · the overshoot value must be at least 60 kV/ 2.5mm.","Process","Quantitative","Non-ambiguous",,"No reference",,
"K73142","Dialogfönster för omformare av typen HOG ska innehålla jordslutare F-J-G.","Dialog windows for converters of the HOG type must contain earthing contact FJG.","Product","Qualitative","Non-ambiguous",,"No reference",,
