model,dimension,average type,precision,recall,f1
o3,target,micro,0.936,0.936,0.936
o3,target,macro,0.886,0.890,0.880
o3,target,weighted,0.936,0.936,0.934
o3,nature,micro,0.908,0.908,0.908
o3,nature,macro,0.734,0.743,0.738
o3,nature,weighted,0.910,0.908,0.908
o3,interpretability,micro,0.776,0.776,0.776
o3,interpretability,macro,0.567,0.517,0.536
o3,interpretability,weighted,0.757,0.776,0.764
o3,reference,micro,0.948,0.948,0.948
o3,reference,macro,0.854,0.963,0.899
o3,reference,weighted,0.959,0.948,0.951
gpt-4.1,target,micro,0.912,0.912,0.912
gpt-4.1,target,macro,0.875,0.806,0.829
gpt-4.1,target,weighted,0.910,0.912,0.905
gpt-4.1,nature,micro,0.904,0.904,0.904
gpt-4.1,nature,macro,0.601,0.638,0.619
gpt-4.1,nature,weighted,0.876,0.904,0.889
gpt-4.1,interpretability,micro,0.752,0.752,0.752
gpt-4.1,interpretability,macro,0.518,0.529,0.497
gpt-4.1,interpretability,weighted,0.728,0.752,0.727
gpt-4.1,reference,micro,0.916,0.916,0.916
gpt-4.1,reference,macro,0.732,0.783,0.750
gpt-4.1,reference,weighted,0.925,0.916,0.918
gpt-4o-mini,target,micro,0.872,0.872,0.872
gpt-4o-mini,target,macro,0.788,0.685,0.691
gpt-4o-mini,target,weighted,0.872,0.872,0.851
gpt-4o-mini,nature,micro,0.908,0.908,0.908
gpt-4o-mini,nature,macro,0.597,0.632,0.614
gpt-4o-mini,nature,weighted,0.868,0.908,0.888
gpt-4o-mini,interpretability,micro,0.688,0.688,0.688
gpt-4o-mini,interpretability,macro,0.314,0.518,0.357
gpt-4o-mini,interpretability,weighted,0.608,0.688,0.640
gpt-4o-mini,reference,micro,0.904,0.904,0.904
gpt-4o-mini,reference,macro,0.582,0.687,0.627
gpt-4o-mini,reference,weighted,0.871,0.904,0.885
o4-mini,target,micro,0.920,0.920,0.920
o4-mini,target,macro,0.864,0.850,0.850
o4-mini,target,weighted,0.918,0.920,0.916
o4-mini,nature,micro,0.900,0.900,0.900
o4-mini,nature,macro,0.728,0.747,0.735
o4-mini,nature,weighted,0.905,0.900,0.901
o4-mini,interpretability,micro,0.724,0.724,0.724
o4-mini,interpretability,macro,0.443,0.437,0.436
o4-mini,interpretability,weighted,0.727,0.724,0.724
o4-mini,reference,micro,0.920,0.920,0.920
o4-mini,reference,macro,0.795,0.904,0.840
o4-mini,reference,weighted,0.939,0.920,0.925
gpt-4o,target,micro,0.912,0.912,0.912
gpt-4o,target,macro,0.852,0.806,0.818
gpt-4o,target,weighted,0.908,0.912,0.906
gpt-4o,nature,micro,0.928,0.928,0.928
gpt-4o,nature,macro,0.760,0.705,0.722
gpt-4o,nature,weighted,0.915,0.928,0.920
gpt-4o,interpretability,micro,0.764,0.764,0.764
gpt-4o,interpretability,macro,0.588,0.570,0.472
gpt-4o,interpretability,weighted,0.761,0.764,0.704
gpt-4o,reference,micro,0.952,0.952,0.952
gpt-4o,reference,macro,0.866,0.915,0.886
gpt-4o,reference,weighted,0.960,0.952,0.954
