"ID","text","label"
"K56589","Genomföringar och anslutningar ska vara utformade så att två stycken 95 mm² 3-fas kablar kan anslutas.",TRUE
"K49368","Kontakt i motorkrets ska kunna sluta och bryta ström hos fastbromsad motor.",FALSE
"K99788","I ärende för kontroll ska följande uppgifter anges: · Trafikverkets projektnummer och projektnamn · Trafikverkets konstruktionsnamn och konstruktionsnummer på den geokonstruktion som avses · vilka dokument och versioner av dessa som avses · länk till lagringsplats för handlingar som lagts in i databas · vilken typ av kontroll som avses · det av handling upprättande företagets namn · datering · daterad underskrift · kontaktuppgift för Trafikverkets projektledare · kontaktuppgift för Trafikverkets kontraktspart · kontaktuppgift för Trafikverkets teknikstöd för geoteknik · kontaktuppgift för det av handling upprättande företagets uppdragsledare K99789 Handling i ärende för kontroll ska vara kvalitetssäkrad, komplett och färdig.",TRUE
"K55818","Säkerhetsutrustning ska innefatta objekt enligt tabell 1.",TRUE
"K46926","Dörrar av stål ska vara målade i kulör ljusgrå enligt tillverkarens standard.",TRUE
"K195661","Fundament som inte står i skydd av vägräcke eller dylikt ska placeras så att inte någon del av fundamentets överyta blir belägen högre än 0,1 m över färdig mark.",TRUE
"K151598","Slänter och koner ska vara fria från buskar och sly, med en diameter som är mindre än 0,10 m, och som är högre än 0,5 m över markytan.",TRUE
"K157806","Jordens halt av stora block (> 630 mm) ska anges om den bedöms överstiga 1 viktprocent.",FALSE
"K12652","Märkskyltar för MCS-portaler ska vara 450 mm breda.",TRUE
"K217480","Radarenheten ska med vinklingsbara standardfästen kunna monteras på både vägg, hörn och stolpe (diameter 80-150mm).",TRUE
"K135247","För bro med väg, gång- och cykeltrafik ska krav enligt ""Vägars och gators utformning"" (Trafikverket) uppfyllas.",FALSE
"K48226","Kapslingen ska vara utförd i rostfritt stål eller målad aluminium.",TRUE
"K52338","Apparat i golvskåp ska vara monterad lägst 600 mm över skåps botten.",TRUE
"K29501","Skylt med texten ”LIVSFARA förbjudet att beträda spårområdet” ska ha dimension 200x632 mm.",TRUE
"K33008","Om det finns biljettvaliderare, ska minst en av dessa ha en fri passageväg med en minimibredd på 90 cm.",TRUE
"K63960","Kontakttrådarna ska vara hophållda med hjälp av en 2 500 mm lång stödskena enligt ritning 803 047.",TRUE
"K38383","Standardavvikelse ska beräknas för signaler filtrerade till våglängdsområdet D1 3–25 m.",FALSE
"K59785","Bärlinan ska vara Cu 70 mm2 enligt TDOK 2014:0868 BVS 543.",TRUE
"K34765","För svetsspalt 68 mm ska termitform L68 användas.",FALSE
"K157858","Vid breddning av befintlig väg får beräknad tjällyftning på breddad del skilja maximalt 15 mm från beräknad tjällyftning på befintlig väg.",FALSE
"K35282","Stolpens ytterdiameter ska vara 76 mm.",TRUE
"K61510 ","Nedhänget på spannmitt ska vara 30 mm vid 60 m spannlängd.",TRUE
"K135668","Vid dimensionering av förankringsanordning ska hänsyn tas till avrostning.",FALSE
