dimension,train_size,f1_macro_avg,f1_macro_stdev,f1_micro_avg,f1_micro_stdev,f1_weighted_avg,f1_weighted_stdev,recall_macro_avg,recall_macro_stdev,recall_micro_avg,recall_micro_stdev,recall_weighted_avg,recall_weighted_stdev,precision_macro_avg,precision_macro_stdev,precision_micro_avg,precision_micro_stdev,precision_weighted_avg,precision_weighted_stdev,accuracy_avg,accuracy_stdev
interpretability,20,0.429,0.0,0.75,0.0,0.643,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.375,0.0,0.75,0.0,0.562,0.0,0.75,0.0
interpretability,40,0.42608,0.1240654447,0.725,0.0497468077,0.64628,0.0556303481,0.4734,0.1211834568,0.725,0.0497468077,0.725,0.0497468077,0.39352,0.1369129296,0.725,0.0497468077,0.5876,0.074053241,0.725,0.0497468077
interpretability,60,0.4296,0.1455099935,0.71,0.0803865697,0.65468,0.0823042319,0.45324,0.1266335713,0.71,0.0803865697,0.71,0.0803865697,0.43612,0.2124982072,0.71,0.0803865697,0.62264,0.1176395561,0.71,0.0803865697
interpretability,80,0.3844,0.1067584871,0.72508,0.0422020563,0.65316,0.0444596428,0.4182,0.0975035909,0.72508,0.0422020563,0.72508,0.0422020563,0.37184,0.1366765624,0.72508,0.0422020563,0.60544,0.0778239934,0.72508,0.0422020563
interpretability,100,0.44456,0.1270103471,0.766,0.0353363911,0.7028,0.0621505686,0.46316,0.1105505542,0.766,0.0353363911,0.766,0.0353363911,0.475,0.1844774052,0.766,0.0353363911,0.67704,0.1069544525,0.766,0.0353363911
interpretability,120,0.40156,0.1080104359,0.7366,0.0476729321,0.68556,0.0519508545,0.41628,0.097393247,0.7366,0.0476729321,0.7366,0.0476729321,0.41148,0.1351489417,0.7366,0.0476729321,0.65796,0.0788084068,0.7366,0.0476729321
interpretability,140,0.36548,0.0571967416,0.75284,0.0418847891,0.69516,0.0471355101,0.3758,0.0452889802,0.75284,0.0418847891,0.75284,0.0418847891,0.41968,0.1159190142,0.75284,0.0418847891,0.68896,0.0827440934,0.75284,0.0418847891
interpretability,160,0.36548,0.0589644289,0.74744,0.0498167496,0.69284,0.0508386155,0.37628,0.0454865151,0.74744,0.0498167496,0.74744,0.0498167496,0.39816,0.0978185724,0.74744,0.0498167496,0.6754,0.0725373028,0.74744,0.0498167496
interpretability,180,0.38104,0.052053579,0.74896,0.0394145299,0.704,0.0437698293,0.38636,0.041477721,0.74896,0.0394145299,0.74896,0.0394145299,0.43196,0.0984843821,0.74896,0.0394145299,0.70372,0.0706977493,0.74896,0.0394145299
interpretability,200,0.38344,0.0455628586,0.75,0.0348743966,0.70504,0.0396637049,0.38788,0.0361640019,0.75,0.0348743966,0.75,0.0348743966,0.41272,0.0625128537,0.75,0.0348743966,0.68936,0.0493415542,0.75,0.0348743966
